COMID,Stream DO
22878113,11.04679516
22878115,11.05143819
22878117,11.13734779
22878119,11.07287014
22878121,11.12748138
22878123,11.09264816
22878125,11.13594743
22878127,11.05814391
22878129,11.11162253
22878131,11.62266955
22878133,11.54663481
22878135,10.5148818
22878137,10.51962513
22878139,10.51960496
22878141,10.51955452
22878143,10.51948051
22878145,10.52430441
22878147,10.52428085
22878149,10.52427411
22878151,10.52414612
22878153,10.52897671
22878155,10.53837798
22878157,10.53832729
22878159,10.5523818
22878161,10.55694723
22878163,10.55309201
22878165,10.58084074
22878167,10.62320482
22878169,10.57500141
22878171,10.5795714
22878173,10.58895717
22878175,10.60291501
22878177,10.62576532
22878179,10.69007013
22878181,10.6984178
22878183,10.69830353
22878185,10.70196924
22878187,10.69404854
22878189,10.77553961
22878191,10.77709332
22878193,10.78029656
22878195,10.79325356
22878197,10.74155647
22878199,10.77661371
22878201,10.87409384
22878203,10.98554127
22878205,11.33388008
22878207,10.81939547
22878209,10.85451586
22878211,11.71189328
22878213,10.74960304
22878215,11.09134675
22878217,11.62972163
22878219,9.978195995
22878221,10.17445623
22878223,11.06163835
22878225,11.06639696
22878227,11.06635534
22878229,10.12670936
22878231,11.066105
22878233,11.06606691
22878235,10.81139093
22878237,11.06596406
22878239,11.06592747
22878241,11.06585075
22878243,11.06583214
22878245,10.69872033
22878247,11.0658217
22878249,9.477575888
22878251,11.06579813
22878253,10.34747481
22878255,11.06090682
22878257,11.07786868
22878259,11.07783876
22878261,10.57710464
22878263,10.57707348
22878265,10.5718499
22878267,10.58795015
22878269,10.60842352
22878271,10.56814585
22878273,10.5557311
22878275,10.50327308
22878277,10.47392505
22878279,10.44177576
22878281,10.24219792
22878283,10.35008136
22878285,10.36530953
22878287,10.55844793
22878289,10.57525805
22878291,11.06759203
22878293,11.06259749
22878295,11.06743121
22878297,12.29571865
22878299,11.06742201
22878301,11.06253805
22878303,10.60492961
22878305,10.64542712
22878307,10.7169595
22878309,10.70899785
22878311,10.65807534
22878313,10.6751701
22878315,10.77987438
22878317,10.77412034
22878319,10.71441758
22878321,10.75167762
22878323,11.05733199
22878325,11.05729983
22878327,11.05724743
22878329,11.05210095
22878331,11.0520299
22878333,10.27790374
22878335,10.32124103
22878337,10.33675345
22878339,10.29460159
22878341,10.29498295
22878343,10.30166542
22878345,10.26692772
22878347,10.25055722
22878349,10.22379116
22878351,10.36568841
22878353,10.1820633
22878355,9.577147829
22878357,8.844406571
22878359,8.61364739
22878361,11.05148202
22878363,10.30442867
22878365,10.32542548
22878367,10.55086024
22878369,11.05605434
22878371,11.05097109
22878373,11.0554029
22878375,11.05537411
22878377,11.05535013
22878379,11.05533904
22878381,10.30355002
22878383,10.3966798
22878385,10.39955166
22878387,10.35840706
22878389,10.26642397
22878391,10.28419893
22878393,10.38293892
22878395,10.33333328
22878397,10.36217991
22878399,10.46710312
22878401,10.39336209
22878403,10.61876403
22878405,11.05487277
22878407,11.05483212
22878409,11.05481716
22878411,11.05480171
22878413,11.05476206
22878415,11.05473828
22878417,10.59810386
22878419,10.59420358
22878421,10.53687232
22878423,10.56341615
22878425,10.57532057
22878427,11.04475007
22878429,11.04960042
22878431,11.0495737
22878433,11.04467417
22878435,11.039739
22878437,11.03966236
22878439,11.03963242
22878441,11.03957178
22878443,11.03953778
22878445,11.03952695
22878447,11.0395039
22878449,11.03948397
22878451,11.03945561
22878453,11.03943773
22878455,10.73961031
22878457,10.74220475
22878459,10.75964503
22878461,10.78615254
22878463,10.79472715
22878465,10.75905005
22878467,10.69589178
22878469,11.02441076
22878471,11.01439732
22878473,11.01438127
22878475,11.00948613
22878477,11.00946845
22878479,11.00943724
22878481,10.98714945
22878483,10.9919978
22878485,10.98711551
22878487,10.66702466
22878489,10.66512968
22878491,10.69136754
22878493,10.70211957
22878495,10.67978307
22878497,10.6579816
22878499,10.83715292
22878501,10.58940691
22878503,10.60308638
22878505,10.63823366
22878507,10.62904436
22878509,10.60050803
22878511,10.66507867
22878513,10.6386842
22878515,10.63766458
22878517,10.68167586
22878519,10.62920077
22878521,10.98707966
22878523,10.96222373
22878525,10.96218568
22878527,10.95729128
22878529,10.95232436
22878531,10.94744194
22878533,10.94742639
22878535,10.94740805
22878537,10.9473897
22878539,10.9425061
22878541,10.93761183
22878543,10.92758372
22878545,10.92270453
22878547,10.33928864
22878549,10.30675549
22878551,10.31130826
22878553,10.29977842
22878555,10.26106691
22878557,10.28393568
22878559,10.26098438
22878561,10.27212459
22878563,10.25362851
22878565,10.35023945
22878567,10.36772457
22878569,10.3380132
22878571,10.28914501
22878573,10.33117933
22878575,10.32658722
22878577,10.34094803
22878579,10.3426076
22878581,10.39742684
22878583,10.35499701
22878585,10.41796666
22878587,10.41980548
22878589,10.46971378
22878591,10.54352721
22878593,10.5463077
22878595,10.56439453
22878597,10.61894368
22878599,10.62212474
22878601,10.59636275
22878603,10.92267538
22878605,10.90190669
22878607,10.90186765
22878609,10.88695051
22878613,10.88674013
22878615,10.88663368
22878617,10.58477645
22878619,10.58766451
22878621,10.58708328
22878623,10.59061769
22878625,10.58941259
22878627,10.58934454
22878629,10.62140612
22878631,11.42875933
22878633,10.62046993
22878635,10.61714897
22878637,10.61265086
22878639,10.61893036
22878641,10.39585645
22878643,10.39444956
22878645,10.36386525
22878647,10.38017409
22878649,10.32350787
22878651,10.35036701
22878653,10.3823575
22878655,10.38201315
22878657,10.37929088
22878659,10.39530998
22878661,10.39103016
22878663,10.39009303
22878665,10.39260326
22878667,10.40173741
22878669,10.27080128
22878671,10.26098018
22878673,10.32773722
22878675,10.29755512
22878677,10.31534451
22878679,10.32519746
22878681,10.34827491
22878683,10.32886059
22878685,10.34256483
22878687,10.3103555
22878689,10.38538528
22878691,10.41866542
22878693,10.36378157
22878695,10.44658361
22878697,10.31833141
22878699,10.36501542
22878701,10.36206068
22878703,10.38416809
22878705,10.39619553
22878707,10.40657138
22878709,10.38825541
22878711,10.28761851
22878713,10.31179427
