COMID,Stream DOC
22878559,1.910003761
22878561,1.978549676
22878563,1.935950583
22878565,1.968294785
22878567,1.956380981
22878569,1.98580364
22878571,1.966943061
22878573,1.988800546
22878575,1.931805822
22878577,1.795112135
22878579,1.68318247
22878581,1.597510112
22878583,1.583759546
22878585,1.490505922
22878587,1.366770778
22878589,1.024131481
22878591,1.132352829
22878593,1.2307096
22878595,1.179495971
22878597,1.186328504
22878599,1.287107878
22878601,1.300710542
22878603,3.023198058
22878605,2.517498443
22878607,2.555164304
22878609,2.533158064
22878613,3.031102559
22878615,2.504437593
22878617,2.622250226
22878619,2.577694593
22878621,2.61122509
22878623,2.588393799
22878625,2.573287638
22878627,2.610541986
22878629,2.612041488
22878631,2.574620476
22878633,2.607516482
22878635,2.582050529
22878637,2.655314041
22878639,2.60381002
22878641,2.593598021
22878643,2.551258376
22878645,2.560250271
22878647,2.541693329
22878649,2.462140211
22878651,2.381982979
22878653,2.211940562
22878655,2.339106566
22878657,2.235636277
22878659,2.054562782
22878661,2.519984885
22878663,2.065173436
22878665,1.808488383
22878667,1.844968486
22878669,1.941713466
22878671,1.960237337
22878673,1.870402361
22878675,1.817082032
22878677,1.780773412
22878679,2.298722076
22878681,2.378138067
22878683,1.971909235
22878685,1.931254408
22878687,1.848302175
22878689,1.912956258
22878691,1.921140513
22878693,1.044727989
22878695,0.802034307
22878697,0.802346119
22878699,1.605578089
22878701,1.585205846
22878703,1.625288479
22878705,1.565780511
22878707,1.555894163
22878709,1.596199655
22878711,1.538848476
22878713,1.268546758
22878715,1.263503715
22878719,1.38828959
22878721,1.311456377
22878723,1.329018625
22878725,0.978357942
22878727,1.131327476
22878729,1.345717418
22878731,1.299732436
22878733,0.781818182
22878735,0.781818182
22878737,0.781818182
22878739,1.184423399
22878741,0.781818182
22878743,1.595935774
22878745,1.607967993
22878747,1.622292116
22878749,1.578477477
22878751,0.944712219
22878753,0.933303336
22878755,1.089669185
22878757,1.061567731
22878759,1.055297834
22878761,1.097758445
22878763,3.066963952
22878765,2.906003593
22878767,3.346007541
22878769,3.346007541
22878771,3.347628977
22878773,3.342787188
22878775,3.007001154
22878777,2.925882315
22878779,2.660110066
22878781,2.91621675
22878783,2.522719311
22878785,2.698922053
22878787,2.755989941
22878789,2.581910721
22878791,2.665053454
22878793,2.626562692
22878795,2.49127298
22878797,2.008622882
22878799,1.90953373
22878801,1.937365054
22878803,1.897378078
22878805,2.358315742
22878807,2.066799905
22878809,1.647099621
22878811,1.729977815
22878813,2.147015951
22878815,1.827352157
22878817,2.15579873
22878819,1.945890894
22878821,1.309987391
22878823,1.2363943
22878825,1.041864316
22878827,1.52404612
22878829,1.488082598
22878831,1.403444906
22878833,2.082216452
22878835,1.736469472
22878837,1.192754204
22878839,1.44722602
22878841,1.430959363
22878843,1.420139975
22878845,1.386680898
22878847,1.352579034
22878849,2.566843645
22878851,2.166756592
22878853,2.304693216
22878855,2.11636419
22878857,1.983352731
22878859,2.196446192
22878861,2.154042174
22878863,1.972736004
22878865,2.737500747
22878867,2.616417458
22878869,2.300356449
22878871,1.140265345
22878873,1.116543658
22878875,1.19062012
22878877,1.138255563
22878879,1.56442496
22878881,1.268674057
22878883,1.389447152
22878885,1.440942728
22878887,2.189733365
22878889,2.225231936
22878891,1.284679395
22878893,1.204410031
22878895,1.729235264
22878897,1.733956991
22878899,1.885006002
22878901,2.149081527
22878903,2.289071098
22878905,1.61686159
22878907,2.125351764
22878909,1.679982342
22878911,1.807099235
22878913,2.303991743
22878915,1.918938168
22878917,1.815639172
22878919,1.779744279
22878921,1.17915096
22878923,1.125411505
22878925,1.539192037
22878927,1.435943505
22878929,1.780049088
22878931,1.785027445
22878933,1.73398829
22878935,1.725644522
22878937,1.776530159
22878939,1.845740536
22878941,1.803829368
